feature,gain,weight,cover
median_range_pct,30.820192337036133,630.0,911.9659423828125
avg_wick_pct,19.885604858398438,502.0,1189.541015625
avg_body_pct,13.913938522338867,442.0,1169.2877197265625
realized_vol,11.365187644958496,184.0,857.0095825195312
cnt6_chop_calm,10.890408515930176,93.0,825.6357421875
is_weekend,8.978010177612305,68.0,1171.1842041015625
session_04-08,8.692151069641113,143.0,421.2885437011719
cnt6_bullish,7.661585330963135,90.0,1811.104736328125
cur_bullish,6.768313884735107,72.0,1890.3546142578125
day_of_week,5.919508457183838,386.0,1161.6883544921875
dir_balance_6,5.616013050079346,99.0,1012.4338989257812
session_20-00,5.134486198425293,86.0,1656.2034912109375
cur_bearish,5.0045857429504395,38.0,1463.422607421875
q4_volume_ratio,4.900070667266846,439.0,823.4193725585938
dir_balance_12,4.846571922302246,174.0,1462.6876220703125
block_range_pct,4.706955909729004,179.0,990.301513671875
session_12-16,4.665022850036621,106.0,995.9949951171875
session_16-20,4.516985893249512,64.0,651.4357299804688
range_3b,4.507518768310547,226.0,902.1968994140625
prev1_bullish,4.426680088043213,22.0,1419.9688720703125
prev2_bearish,4.2627997398376465,63.0,1715.705322265625
second_half_magnitude,4.21918249130249,214.0,569.3734741210938
session_08-12,4.166443347930908,19.0,269.7518615722656
cur_chop_volatile,4.143367290496826,14.0,209.9249267578125
winner_rejection,4.106588840484619,244.0,572.835693359375
prev_range,4.076037883758545,276.0,1395.7080078125
q4_range_share,4.019424915313721,393.0,1063.9207763671875
prev1_bearish,3.9207680225372314,35.0,1904.0794677734375
prev1_chop_calm,3.871325969696045,1.0,66.15949249267578
path_efficiency,3.8581392765045166,139.0,1154.0645751953125
prev2_bullish,3.83866286277771,28.0,1560.8505859375
max_pullback_ratio,3.7402684688568115,252.0,1013.6839599609375
vol_ratio,3.7281508445739746,215.0,808.7664184570312
control_vote_strength,3.704956531524658,76.0,568.427734375
counter_energy,3.699361801147461,125.0,1400.5821533203125
abs_net_pct,3.680117607116699,132.0,736.4594116210938
control_strength_2h,3.652362108230591,106.0,912.6400146484375
q4_wick_to_body,3.651841163635254,291.0,1159.4093017578125
dir_streak,3.622232437133789,49.0,2912.082275390625
structure_strength,3.613682746887207,154.0,902.761474609375
dir_consistency,3.595116138458252,228.0,761.9011840820312
q4_range_expansion,3.585999011993408,278.0,869.0291748046875
color_uniformity,3.5850346088409424,65.0,1347.4810791015625
control_strength_15m,3.5164661407470703,132.0,969.47802734375
late_giveback,3.5116593837738037,186.0,818.5783081054688
q4_agrees_with_block,3.4913442134857178,23.0,600.8400268554688
first_half_magnitude,3.475938558578491,197.0,834.4226684570312
session_00-04,3.463036060333252,21.0,1619.21484375
abs_efficiency,3.457486629486084,86.0,881.7689208984375
prev1_chop_volatile,3.4299893379211426,25.0,276.40008544921875
reversal_point,3.3820695877075195,102.0,481.8802490234375
control_strength_1h,3.3699817657470703,152.0,702.8355102539062
cnt6_bearish,3.359003782272339,36.0,619.5546264648438
last_candle_wick_pct,3.340334892272949,250.0,838.0581665039062
regime_streak,3.3304755687713623,20.0,921.6286010742188
close_position,3.3209455013275146,228.0,913.8530883789062
wick_to_body,3.313708543777466,228.0,767.4601440429688
q4_winner_rejection,3.3125951290130615,266.0,834.1578369140625
big_candle_freq,3.3085999488830566,78.0,933.756591796875
range_change,3.3007640838623047,232.0,890.552978515625
momentum_decay,3.3004701137542725,270.0,798.1904907226562
prev_momentum_decay,3.2997734546661377,211.0,752.264892578125
efficiency_3b,3.295673370361328,243.0,804.1154174804688
half_momentum_shift,3.2596983909606934,158.0,878.0397338867188
longest_run,3.2507331371307373,70.0,809.1173706054688
wick_symmetry,3.23069429397583,224.0,737.2408447265625
avg_overlap,3.221907138824463,307.0,903.17529296875
prev2_chop_calm,3.199906826019287,2.0,2047.04150390625
prev2_chop_volatile,3.150296926498413,8.0,254.1595001220703
tf_all_agree,2.9992423057556152,2.0,522.0982666015625
cnt6_chop_volatile,2.996631622314453,24.0,778.821533203125
counter_tail_count,2.7801034450531006,30.0,868.437255859375
cur_chop_calm,2.585033416748047,1.0,89.72306060791016
halves_agree,2.5126755237579346,12.0,408.9286193847656
move_shrinking,0.0,0.0,0.0
